French,English
je,I
de,of
est,is
pas,not
le,the
vous,you
la,the
tu,you
que,that
un,a
il,he
et,and
à,to 
a,has
ne,not
les,them
ce,this
en,in
on,we
ça,that
une,a
ai,have
pour,to
des,of the
moi,me
qui,who
nous,we
y,Y
mais,but
me,me
dans,in
du,from
bien,Well
elle,she
si,if
tout,everything
plus,more
non,Nope
mon,my 
suis,am
te,you
au,to
avec,with
va,goes
oui,yes
toi,you
fait,do
ils,they
as,AS
être,to be
faire,To do
se,se
comme,as
était,was
sur,on
quoi,what
ici,here
sais,know
lui,him
veux,want
ma,my
là,the
rien,nothing
dit,said
es,es
où,where
votre,your
pourquoi,for what
sont,are
cette,this
quand,when
par,by
son,his 
ton,your
peux,can
vais,go
dire,say
alors,then
comment,How? 'Or' What
avez,have
bon,Well
ou,Where
très,very
merci,thank you
ont,have
même,even
jamais,never
aussi,Also
voir,see
chose,thing
allez,go
tous,all
deux,of them
ces,these
faut,should
sa,her
êtes,are
été,summer
ta,your
fais,do 
avoir,to have
peut,can
autre,other
m,M
encore,again
maintenant,now
peu,little
mes,my
vraiment,really
temps,time
notre,our
toujours,always
vie,life
sans,without
juste,just
oh,Oh
avait,had
accord,deal
vu,seen
monde,world
quelque,some
fois,time
aller,go
trop,too
viens,come
crois,believe
dieu,god
dois,must
homme,male
père,dad
sûr,safe
aux,to the
leur,their
avant,before
étais,is
besoin,need
femme,women
aime,love
personne,person
avais,had
chez,at the house of
vrai,TRUE
ans,year
mal,wrong
ses,his
parler,to speak
vos,your
après,after
mort,dead
veut,wants
eu,eu
sera,will be
bonne,good
parce,by
mieux,better
petit,small
voilà,so
tes,your 
ca,that
dis,say
beaucoup,many
depuis,since
doit,must
vois,see 
mère,mother
vas,go
monsieur,sir
quel,what
déjà,already
fille,daughter
gens,people
donc,So
jour,day
soir,evening
autres,others
ii,II
toute,all
bonjour,hello
ll,ll
maison,home
nom,name
argent,money
nos,our
ouais,yeah
pense,thought
merde,shit
nuit,night
papa,dad
cela,that
salut,Hi
cet,this
avons,have
reste,rest
désolé,sorry
maman,mom
peur,fear
arrive,arrived
seul,Alone
vite,quickly
prendre,take
regarde,looked
air,air
soit,either
trois,three
quelle,what
passé,past
savoir,to know
plaît,jail
choses,things
moins,less
fils,son
entre,Between
bas,low
appelle,call
passe,pass
ah,ah
tête,head
demain,tomorrow
grand,big
arrête,stopped
faites,done
voulez,want
hé,Hey
attends,hold on
hein,eh
enfants,children
assez,quite
raison,raison
aurais,would have
voulais,wanted
elles,they
parle,speak
ok,okay
jours,days
dû,from
moment,moment
heure,hour
puis,then
gars,guys
hommes,men
amour,love
tard,late
toutes,all
sommes,are
tuer,kill
eh,eh
ami,friend
connais,know
petite,small
aider,to help
chance,chance
savez,know
partir,leave
sait,knows
combien,How many
voiture,car
tant,so much
pris,taken
part,go
problème,problem
prends,take
porte,gate
coup,stroke
serait,would be
venir,come
hui,hui
famille,family
travail,work 
pu,could
seule,only
sens,sense
ni,neither
allons,let's go
revoir,see again
idée,idea
putain,whore
passer,pass
contre,against
comprends,understand
entendu,understood
trouvé,found
trouver,to find
vieux,old 
vient,come
pendant,during
aurait,would have
quelques,some 
attention,Warning
demande,request
chercher,look for
sous,under
voici,here is
pourrait,might
sang,blood
pouvez,can
sortir,to go out
question,question
histoire,story
amis,friends
venez,come
frère,brother
rester,stay
fini,finished
ville,city
nouveau,new 
truc,thing
tiens,take
mois,month
eux,them
mec,guy
yeux,eyes
laisse,leave alone
super,Great
belle,beautiful
longtemps,long time
police,police
eau,water
heures,hours
car,because
importe,imported
cas,case
vont,are going
chaque,each
terre,Earth
place,square
tué,kill
type,kind
main,hand
pardon,sorry
ensemble,whole
seulement,only
guerre,war
beau,beautiful
vers,toward
mme,Mrs
prie,pray
devant,in front
trouve,find
partie,part
suite,following
compris,Understood
matin,morning
leurs,their
aucun,none
arrivé,come
dessus,above
chérie,dear
mettre,to put
aide,aid
étaient,were
ie,ie
perdu,lost
fin,end
sois,be
premier,first 
genre,gender
aimerais,would like to
droit,right
donne,given
attendez,wait
jeune,young
feu,fire
devrais,should
enfant,child
chambre,bedroom
gros,fat
côté,side
venu,came
loin,far
laisser,let
donner,give
jouer,player
savais,knew
compte,account
s,s
parlé,speak
minutes,minutes
regardez,look
train,train
première,first
pouvoir,to be able to
aura,will have
mourir,to die
dernière,last
donné,given
ia,IA
mari,husband
écoute,listen
enfin,finally
devrait,should
mis,put
film,movie
aucune,any
fort,strong
façon,way
pays,country
prêt,ready
madame,Mrs
femmes,women
affaire,affair
pourrais,could
espère,hope
parti,left
h,h
boulot,gig
endroit,place
fou,mad
corps,body
hier,yesterday
dont,of which
désolée,sorry
grande,big
point,point
cinq,five
dehors,outside
filles,girls
cause,cause
vivre,to live
près,close
pensais,thought
garçon,boy
chef,chief
haut,high
capitaine,captain
dirait,would say
bébé,baby
celui,that's why I wrote to you
demandé,asked
possible,possible
mains,hands
ainsi,thus
quatre,four
nouvelle,news
années,years
plein,full
semaine,week
dites,say
croire,believe
marche,walking
tour,tower
école,school
manger,eat
plutôt,rather 
docteur,doctor
ceux,those
vérité,truth
vue,seen
arrêter,Stop
essaie,try
envie,urge
bientôt,soon
instant,moment
dernier,last
affaires,business
arriver,arrive
demander,asking for
meilleur,better
font,make
derrière,behind
c,vs
dollars,dollars
presque,almost
dr,DR
tellement,such
tomber,fall
journée,daytime
voulait,wanted to
appeler,to call
bureau,office
confiance,trust
garde,keep
attendre,expect
numéro,number
serai,will be
dur,hard
á,has
souviens,remember
o,o
voyez,see
cours,Classes
bonsoir,good evening
route,road
fera,will
prend,take
cul,ass
abord,on board
important,important
peine,sadness
croyais,believed
mot,word
devez,must
suffit,enough
minute,minute
ferme,closed
ben,ben
plaisir,pleasure
chien,dog
jeu,Game
seigneur,lord
messieurs,gentlemen
calme,calm
voudrais,would like
heureux,happy
prenez,take
mariage,wedding
voit,sees
parents,parents
lls,lls
dedans,inside
entrer,to enter
lit,bed
parfait,perfect
fous,crazy
mlle,Ms
rentrer,to return
ait,has
musique,music
arrêtez,Stop
autant,as much
service,service
reviens,come back
ceci,this
drôle,funny
attend,waits
parfois,sometimes
téléphone,phone
retour,return
ira,will go
e,e
pauvre,poor
verre,glass
général,general
new,new
six,six
pensé,thought
l,I
impossible,impossible
fête,party
adore,adore
coeur,heart
aimes,love
ci,this
ferai,will do
président,President
doute,doubt
facile,easy
entends,hear
payer,to pay
appelé,called
prison,jail
john,john
sors,go outside
café,coffee
vaut,worth
mauvais,Wrong
chéri,dear
oublié,forget it
bras,arms
i,I
gentil,kindly
faute,mistake
équipe,team 
exactement,exactly
cœur,heart
penser,think
changer,change
commence,begin
lieu,location
entendre,To hear
ies,ies
roi,King
plan,plan
partout,all over
joue,cheek
cher,dear
morts,dead
rendre,render
écrit,written
travailler,to work
malade,sick
sinon,otherwise
génial,great
regarder,watch
veulent,want
montrer,to show
rentre,go home
travaille,work
armée,army
voulu,desired
cherche,look for
état,state
boire,drink
sécurité,security
dès,of the
esprit,mind
année,year
dix,ten
york,york
laissé,leave alone
bois,drink
mets,put
propre,clean
soyez,be
jack,jack
essayer,to try
faisait,did
tôt,early
surtout,Above all
arme,armed
t,t
rêve,dream
perdre,to lose
avis,opinion
semble,seems
pire,worse 
simple,simple
penses,thinking
parles,speak
paix,peace
livre,book
dormir,sleep
voyons,let's see
difficile,difficult
retard,delay
allait,was going to
d,d
sujet,topic
appris,learned
ensuite,then
sauf,except
maître,master
morte,dead
noir,black
or,gold
dîner,having dinner
choix,choice
serais,would be
écoute,listen
sale,dirty
étiez,have been
sûrement,surely
an,year
ordre,order
souvent,often
essayé,tried
peuvent,can
visage,face
bout,end 
changé,exchange
sérieux,serious
inquiète,worry
âge,age
photo,Photo
rue,street
tirer,to pull
comprendre,understand
face,face
semaines,weeks
marché,market
questions,Questions
honneur,honor
ciel,sky
allé,go
garder,to keep
chemin,path
grave,severe
gauche,left
petits,small
courant,fluent
amie,friend
nouvelles,new
avion,plane
con,stupid
content,happy
force,strength
millions,millions
oublie,forget
devoir,Homework
prochaine,next
prix,price
propos,about
bateau,ship
bouge,move
voix,voice
rouge,red
restez,Stay
celle,that
pouvais,could
personnes,people
ferais,would do
début,start
espèce,species
gueule,mouth
acheter,buy
continue,keep on going
sort,spell
faim,hunger
long,long
j,J
voyage,trip
message,message
sorte,sort
reçu,received
bienvenue,welcome
idiot,idiot
certains,some
hôpital,hospital
promis,promised
devenir,to become
ouvre,open
grâce,grace
sûre,safe
problèmes,problems
armes,weapons
trucs,stuff
camp,camp
allais,alla
occupe,to keep busy
devait,had to
manque,lack
connaissez,know
thé,tea
avaient,had
cheveux,hair
soleil,sun
salle,Hall
gagner,to earn
laissez,leave
erreur,error
cru,believed
pars,go
bizarre,weird
croyez,believe
sac,bag
hôtel,hotel
oncle,uncle
pièce,room
pouvait,could
fond,background
soirée,evening
secret,secret
patron,boss
rapport,report
apprendre,learn
commencé,start
sauver,save
seconde,second
pensez,think
allô,hi
ailleurs,elsewhere
agent,agent
froid,cold
seras,will be
pied,foot
jolie,pretty one
revenir,to come back
scène,stage
pieds,feet
n,not
devons,owe
groupe,band
carte,menu
aurai,will have
effet,effect
neuf,nine
fallait,had to
monte,mounted
battre,beat
noël,Xmas
venue,come
mots,words
tire,drawn
droite,right
libre,free
soeur,sister
situation,situation
seront,will be
faux,fake
bordel,mess
foutre,cum
lumière,light
euh,uh
incroyable,unbelievable
tue,kill
joli,nice
connaît,know
debout,standing
colonel,colonel
cheval,horse
écoutez,Listen
george,George
joe,joe
vieille,old woman
entrez,Come in
intérieur,interior
coin,corner
auras,auras
gagné,won
fric,money
loi,law
absolument,absolutely
dame,lady
cool,cool
magnifique,magnificent
dos,back
occuper,to occupy
présent,here
retrouver,to regain
réussi,successful
frank,Frank
rencontrer,to meet
aviez,had
meilleure,best
âme,soul
prêts,loans
doucement,gently
table,table
lettre,letter
rappelle,remember
sam,sat
fut,was
risque,risk
ordres,orders
appel,call
commencer,to start
terminé,completed
agit,act
blanc,White
sœur,sister
pareil,the same
charlie,charlie
chaud,warm
finir,finish
touche,touch
avance,advance
ignore,ignore
meurtre,murder
tranquille,calm
anniversaire,anniversary
déjeuner,to eat lunch
disais,said
bord,edge
tom,Tom
jeunes,youth
accident,accident
parlez,speak
fasse,do
complètement,completely
déteste,hated
clair,clear
marcher,walk
disait,said
mauvaise,bad
envoyé,sent
â,has
professeur,teacher
heureuse,happy
doivent,have to
midi,midday
lire,read
moyen,average
ferait,would do
commandant,commanding officer
vraie,real
sept,seven
forme,shape
tombe,fall
silence,silence
sortez,get out
connaître,to know
puisse,may
cadeau,present
flics,cops
mer,sea
médecin,doctor
exact,exact
décidé,decided
moitié,half
surprise,surprise
avocat,attorney
montre,show
b,B
su,su
porter,carry
télé,TV
vivant,living
jure,sworn
disent,say
mr,MR
serez,will be
devriez,should
devenu,became
aimé,like
diable,Devil
ligne,line
mission,assignment
suppose,Assumed
chacun,each
autour,around
pote,pal
grosse,fat
expliquer,explain
arrivée,arrival
monter,ascend
balle,ball
selon,according to
photos,Pictures
contrôle,control
prête,ready
anglais,English
sorti,got out
k,k
bons,good
disparu,gone
tenir,hold
simplement,simply
quitter,leave
envoie,send
paul,Paul
aimer,to like
voie,way
paris,Paris
classe,class
huit,eight
offre,offer
poste,post
dangereux,dangerous
attaque,offensive
impression,impression
folle,crazy woman
michael,Michael
mange,eat
bravo,well done
arrière,back
amérique,America
suivre,to follow
aille,wing
oublier,forget
peuple,people
baiser,kiss
rencontré,meet
honte,shame 
connard,asshole
trou,hole
retourner,to return to
chanson,song
change,exchange
arrêté,stopped
enfer,hell
écrire,to write
livres,books
habitude,habit
réponse,answer
david,david
lieutenant,lieutenant
savait,knew
radio,radio
tenez,hold
bande,bandaged
bob,bob
rend,renders
compagnie,company
connu,known
secours,rescue
danse,dance
met,put
vol,flight
vit,lives
conneries,bullshit
aurez,will have
imagine,conceived
boîte,box
joué,cheek
triste,sad
sud,south
lu,read
tel,Phone
merveilleux,wonderful
pute,whore
aie,Ouch
ressemble,looks like
coucher,sleep
ennuis,troubles
volé,Fly
sortie,exit
devais,had to
combat,fight
bouche,blocked
certain,certain
visite,visit
existe,exist
bête,stupid
retourne,return
approche,approach
pourtant,yet
plusieurs,many
rire,to laugh
but,goal
sergent,sergeant
public,audience